3000rpm_x,3000rpm_y,4000rpm_x,4000rpm_y,5000rpm_x,5000rpm_y,6000rpm_x,6000rpm_y,7000rpm_x,7000rpm_y,8000rpm_x,8000rpm_y,9000rpm_x,9000rpm_y
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.019047619,32.16957606,0,57.60598504,0.019047619,90.52369077,0.019047619,130.9226933,0.019047619,178.0548628,0.038095238,231.9201995,0.019047619,289.5261845
0.666666667,29.17705736,0.228571429,56.85785536,0.419047619,88.27930175,0.666666667,127.1820449,1.352380952,171.3216958,0.685714286,228.1795511,0.742857143,288.0299252
1.352380952,26.93266833,0.438095238,55.36159601,0.666666667,87.53117207,1.352380952,123.4413965,2.685714286,162.3441397,1.39047619,225.1870324,1.314285714,285.0374065
2,23.19201995,0.666666667,54.61346633,1.028571429,86.03491272,2,119.7007481,4,150.3740648,2,219.9501247,1.771428571,282.0448878
2.266666667,20.94763092,1.00952381,53.11720698,1.352380952,84.53865337,2.685714286,115.2119701,4.666666667,142.8927681,2.704761905,214.713217,2.114285714,279.0523691
2.666666667,17.20698254,1.333333333,52.36907731,2.019047619,80.04987531,3.352380952,110.723192,5.371428571,133.915212,3.371428571,208.7281796,2.761904762,273.8154613
2.952380952,13.46633416,1.542857143,50.87281796,2.342857143,78.55361596,4,104.7381546,6,121.9451372,4.057142857,203.4912718,3.466666667,267.8304239
1.028571429,28.42892768,2,47.13216958,2.666666667,74.81296758,4.666666667,95.7605985,6.666666667,104.7381546,4.704761905,196.7581047,4.038095238,262.5935162
0.4,30.67331671,2.304761905,46.3840399,3.333333333,69.57605985,5.352380952,82.29426434,7.314285714,86.03491272,5.00952381,192.2693267,4.59047619,257.3566085
,,2.685714286,42.64339152,3.676190476,65.83541147,6,68.0798005,7.980952381,62.84289277,5.371428571,187.7805486,4.933333333,253.6159601
,,3.066666667,39.65087282,4,62.09476309,6.685714286,47.88029925,8.666666667,35.91022444,6.038095238,177.3067332,5.695238095,244.638404
,,3.333333333,36.65835411,4.685714286,50.87281796,7.40952381,21.6957606,8.857142857,27.680798,6.685714286,164.5885287,6,240.1496259
,,4.019047619,26.18453865,5.314285714,36.65835411,,,,,7.333333333,145.8852868,6.704761905,228.1795511
,,4.304761905,20.19950125,6,18.7032419,,,,,8.038095238,125.6857855,7.314285714,216.2094763
,,4.533333333,14.96259352,,,,,,,8.666666667,103.9900249,7.980952381,198.2543641
,,,,,,,,,,9.00952381,88.27930175,8.666666667,174.3142145
,,,,,,,,,,9.352380952,75.56109726,9.314285714,156.3591022
,,,,,,,,,,10.01904762,42.64339152,9.980952381,125.6857855
,,,,,,,,,,10.22857143,31.42144638,10.64761905,92.01995012
,,,,,,,,,,,,11.02857143,71.0723192
,,,,,,,,,,,,11.33333333,53.86533666
,,,,,,,,,,,,11.71428571,35.16209476
